行类型,类别,项目,规格或假设,需求数量,采购数量,单位,单价_CNY,学校钢网自贴_CNY,嘉立创经济型SMT_CNY,成本口径,置信度,来源,备注
成本,裸板,Hub PCB,2层且小于10cm×10cm的规划占位价,15,17,片,8.00,136.00,136.00,现金,低,https://www.jlc.com/ | ../docs/bom.md,没有Gerber和板框所以不是在线报价
成本,裸板,Module PCB,6种设计各17片的规划占位价,90,102,片,5.00,510.00,510.00,现金,低,https://www.jlc.com/ | ../docs/bom.md,总计6个design；异形板与拼板审单可能追加
成本,工艺,校内无框钢网,28cm×38cm且两张容纳7种design,2,2,张,55.00,110.00,0.00,现金,中,https://www.jlc.com/portal/smtLaserSteelNet.html,嘉立创SMT配套钢网留在工厂不交付
成本,工艺,校内贴装耗材,锡膏/助焊剂/IPA/无尘布/吸锡带/清洁,1,1,批,350.00,350.00,0.00,现金,低,,按批次规划估算
成本,工艺,SMT后装耗材,pogo/磁铁/外壳/breakout的校内后装耗材,1,1,批,150.00,0.00,150.00,现金,低,,嘉立创路线仍不是整机交钥匙
成本,嘉立创SMT,经济型工程费,7个design各1单×CNY 50,7,7,单,50.00,0.00,350.00,现金,中,https://www.jlc.com/portal/server_guide_42886.html,实际能否合单以在线报价为准
成本,嘉立创SMT,贴片焊点费,暂估Hub 130点×15 + module 90点×90,10050,10050,焊点,0.01,0.00,100.50,现金,低,https://www.jlc.com/portal/server_guide_42886.html,没有生产BOM/CPL故焊点数是占位假设
成本,嘉立创SMT,扩展库换料费,暂估16个跨订单换料事件×CNY 20,16,16,事件,20.00,0.00,320.00,现金,低,https://www.jlc.com/portal/newV2/smt.jsp,最终由BOM匹配结果决定
成本,质量,烧录与测试治具,限流电源/线缆/pogo治具/备份测试件,1,1,批,500.00,500.00,500.00,现金,低,,已有设备时可下调
成本,物流,国内物流与包装,PCB/元件/电池/钢网或PCBA合计占位,1,1,批,350.00,350.00,350.00,现金,低,,税票/偏远地址/电池运输可能改变
汇总,现金,预备金前现金小计,共同物料 + 各自制造工艺,,,,,8870.88,9331.38,输出,中,,现金采购与制造小计
汇总,现金,15%不确定性预备金,预备金前现金小计×15%,15,15,%,,1330.63,1399.71,输出,中,,因生产文件未冻结使用较高预备金
汇总,现金,建议现金预算,预备金前现金小计 + 15%预备金,,,,,10201.51,10731.09,输出,中,,学校付款口径
汇总,单位,每套现金预算,建议现金预算÷15,15,15,套,,680.10,715.41,输出,中,,每套=1 Hub + 6种模块
信息,边界,嘉立创直接的准确含义,经济型SMT仅贴核心SMD；学校仍需处理breakout/pogo/磁铁/电池/外壳,,,,,,,信息,高,https://www.jlc.com/portal/server_guide_30669.html,若要真正交钥匙整机需重画可生产PCBA并另询装配报价
信息,未计入,正式报价可能追加,税票/优惠券/加急/特殊表面处理/X-ray/BOM人工匹配/邮寄器件/报废处置,,,,,,,信息,高,https://www.jlc.com/portal/q6i53841.html,下单前逐项确认
信息,下一步,获得binding quote,冻结架构并生成Gerber + 生产BOM + CPL后上传在线计价,,,,,,,信息,高,https://www.jlc.com/,保存报价日期/文件哈希/工艺/交期/配送地址
